51.158.72.81 ; bbb-adm-scalelite.visio.education.fr
163.172.148.12 ; bbb-adm-turn1.visio.education.fr
51.15.254.198 ; ;bbb-adm-turn2.visio.education.fr
51.158.117.254 ; bbb-adm-turn3.visio.education.fr
51.15.202.107 ; bbb-adm-turn4.visio.education.fr
51.15.140.208 ; bbb-adm-recordings.visio.education.fr
51.15.249.95 ; bbb-adm-w1.visio.education.fr
163.172.139.215 ; bbb-adm-w2.visio.education.fr
51.158.72.133 ; bbb-adm-w3.visio.education.fr
51.15.239.246 ; bbb-adm-w4.visio.education.fr
51.15.235.56 ; bbb-adm-w5.visio.education.fr
163.172.165.47 ; bbb-adm-w6.visio.education.fr
163.172.164.166 ; bbb-adm-w7.visio.education.fr
51.15.131.231 ; bbb-adm-w8.visio.education.fr
163.172.140.210 ; bbb-adm-w9.visio.education.fr
163.172.185.90 ; bbb-adm-w10.visio.education.fr
212.47.235.215 ; bbb-adm-w11.visio.education.fr
212.47.247.251 ; bbb-adm-w12.visio.education.fr
51.15.210.132 ; bbb-adm-w13.visio.education.fr
51.158.127.133 ; bbb-adm-w14.visio.education.fr
51.15.143.87 ; bbb-adm-w15.visio.education.fr
163.172.159.78 ; bbb-adm-w16.visio.education.fr
51.15.247.41 ; bbb-adm-w17.visio.education.fr
212.47.242.239 ; bbb-adm-w18.visio.education.fr
51.15.134.117 ; bbb-adm-w19.visio.education.fr
51.15.237.121 ; bbb-adm-w20.visio.education.fr
51.158.77.53 ; bbb-adm-w21.visio.education.fr
212.47.251.50 ; bbb-adm-w22.visio.education.fr
51.158.108.164 ; bbb-adm-w23.visio.education.fr
51.158.67.142 ; bbb-adm-w24.visio.education.fr
163.172.165.166 ; bbb-adm-w25.visio.education.fr
51.158.73.245 ; bbb-adm-w26.visio.education.fr
51.158.117.196 ; bbb-adm-w27.visio.education.fr
51.15.211.111 ; bbb-adm-w28.visio.education.fr
51.158.73.132 ; bbb-adm-w29.visio.education.fr
163.172.155.152 ; bbb-adm-w30.visio.education.fr
212.47.248.0 ; bbb-adm-w31.visio.education.fr
51.15.199.243 ; bbb-adm-w32.visio.education.fr
51.158.117.202 ; bbb-adm-w33.visio.education.fr
212.47.235.37 ; bbb-adm-w34.visio.education.fr
212.47.226.98 ; bbb-adm-w35.visio.education.fr
51.158.125.154 ; bbb-adm-w36.visio.education.fr
51.15.223.186 ; bbb-adm-w37.visio.education.fr
212.47.226.89 ; bbb-adm-w38.visio.education.fr
51.158.65.132 ; bbb-adm-w39.visio.education.fr
163.172.156.112 ; bbb-adm-w40.visio.education.fr
51.158.74.74 ; bbb-adm-w41.visio.education.fr
51.15.232.30 ; bbb-adm-w42.visio.education.fr
163.172.136.57 ; bbb-adm-w43.visio.education.fr
163.172.174.247 ; bbb-adm-w44.visio.education.fr
212.47.232.252 ; bbb-adm-w45.visio.education.fr
51.15.254.5 ; bbb-adm-w46.visio.education.fr
212.47.246.34 ; bbb-adm-w47.visio.education.fr
163.172.165.146 ; bbb-adm-w48.visio.education.fr
51.158.77.153 ; bbb-adm-w49.visio.education.fr
51.15.135.200 ; bbb-adm-w50.visio.education.fr
51.15.209.237 ; bbb-adm-w51.visio.education.fr
51.158.126.94 ; bbb-adm-w52.visio.education.fr
163.172.180.137 ; bbb-adm-w53.visio.education.fr
51.15.246.53 ; bbb-adm-w54.visio.education.fr
163.172.136.146 ; bbb-adm-w55.visio.education.fr
51.15.214.111 ; bbb-adm-w56.visio.education.fr
51.15.218.211 ; bbb-adm-w57.visio.education.fr
51.15.201.25 ; bbb-adm-w58.visio.education.fr
51.158.72.46 ; bbb-adm-w59.visio.education.fr
51.15.204.34 ; bbb-adm-w60.visio.education.fr
51.158.106.105 ; bbb-adm-w61.visio.education.fr
51.15.192.210 ; bbb-adm-w62.visio.education.fr
51.15.198.7 ; bbb-adm-w63.visio.education.fr
163.172.166.47 ; bbb-adm-w64.visio.education.fr
51.15.246.238 ; bbb-adm-w65.visio.education.fr
51.158.72.50 ; bbb-adm-w66.visio.education.fr
51.158.117.35 ; bbb-adm-w67.visio.education.fr
51.15.224.52 ; bbb-adm-w68.visio.education.fr
212.47.231.170 ; bbb-adm-w69.visio.education.fr
51.15.226.43 ; bbb-adm-w70.visio.education.fr
51.15.132.8 ; bbb-adm-w71.visio.education.fr
163.172.130.158 ; bbb-adm-w72.visio.education.fr
51.15.222.24 ; bbb-adm-w73.visio.education.fr
51.158.72.225 ; bbb-adm-w74.visio.education.fr
51.158.119.211 ; bbb-adm-w75.visio.education.fr
51.158.76.26 ; bbb-adm-w76.visio.education.fr
163.172.179.53 ; bbb-adm-w77.visio.education.fr
163.172.178.6 ; bbb-adm-w78.visio.education.fr
163.172.148.113 ; bbb-adm-w79.visio.education.fr
51.158.121.67 ; bbb-adm-w80.visio.education.fr
51.15.137.165 ; bbb-adm-w81.visio.education.fr
51.15.242.11 ; bbb-adm-w82.visio.education.fr
51.15.237.187 ; bbb-adm-w83.visio.education.fr
51.15.216.234 ; bbb-adm-w84.visio.education.fr
51.158.99.148 ; bbb-adm-w85.visio.education.fr
51.15.198.158 ; bbb-adm-w86.visio.education.fr
51.158.123.98 ; bbb-adm-w87.visio.education.fr
163.172.131.43 ; bbb-adm-w88.visio.education.fr
51.15.131.245 ; bbb-adm-w89.visio.education.fr
163.172.167.175 ; bbb-adm-w90.visio.education.fr
51.15.225.168 ; bbb-adm-w91.visio.education.fr
51.15.239.226 ; bbb-adm-w92.visio.education.fr
51.158.115.200 ; bbb-adm-w93.visio.education.fr
51.158.116.177 ; bbb-adm-w94.visio.education.fr
51.158.125.106 ; bbb-adm-w95.visio.education.fr
212.47.239.76 ; bbb-adm-w96.visio.education.fr
212.47.233.198 ; bbb-adm-w97.visio.education.fr
51.158.97.12 ; bbb-adm-w98.visio.education.fr
163.172.148.7 ; bbb-adm-w99.visio.education.fr
51.15.236.102 ; bbb-adm-w100.visio.education.fr
51.15.213.9 ; bbb-adm-w101.visio.education.fr
163.172.188.1 ; bbb-adm-w102.visio.education.fr
163.172.140.52 ; bbb-adm-w103.visio.education.fr
163.172.136.255 ; bbb-adm-w104.visio.education.fr
51.158.97.116 ; bbb-adm-w105.visio.education.fr
51.158.119.101 ; bbb-adm-w106.visio.education.fr
51.15.226.139 ; bbb-adm-w107.visio.education.fr
51.158.103.32 ; bbb-adm-w108.visio.education.fr
163.172.139.151 ; bbb-adm-w109.visio.education.fr
51.15.223.72 ; bbb-adm-w110.visio.education.fr
51.15.246.244 ; bbb-adm-w111.visio.education.fr
51.15.225.60 ; bbb-adm-w112.visio.education.fr
51.15.142.40 ; bbb-adm-w113.visio.education.fr
163.172.131.30 ; bbb-adm-w114.visio.education.fr
212.47.232.228 ; bbb-adm-w115.visio.education.fr
51.15.216.54 ; bbb-adm-w116.visio.education.fr
51.158.105.229 ; bbb-adm-w117.visio.education.fr
51.15.219.181 ; bbb-adm-w118.visio.education.fr
51.15.222.38 ; bbb-adm-w119.visio.education.fr
212.47.249.109 ; bbb-adm-w120.visio.education.fr
51.15.233.47 ; bbb-adm-w121.visio.education.fr
51.15.204.72 ; bbb-adm-w122.visio.education.fr
163.172.175.179 ; bbb-adm-w123.visio.education.fr
51.15.137.87 ; bbb-adm-w124.visio.education.fr
51.15.245.225 ; bbb-adm-w125.visio.education.fr
51.158.102.75 ; bbb-adm-w126.visio.education.fr
51.158.112.213 ; bbb-adm-w127.visio.education.fr
51.158.105.112 ; bbb-adm-w128.visio.education.fr
163.172.151.164 ; bbb-adm-w129.visio.education.fr
163.172.147.83 ; bbb-adm-w130.visio.education.fr
163.172.179.86 ; bbb-adm-w131.visio.education.fr
163.172.160.224 ; bbb-adm-w132.visio.education.fr
51.15.206.36 ; bbb-adm-w133.visio.education.fr
163.172.168.127 ; bbb-adm-w134.visio.education.fr
212.47.241.27 ; bbb-adm-w135.visio.education.fr
163.172.148.129 ; bbb-adm-w136.visio.education.fr
212.47.229.31 ; bbb-adm-w137.visio.education.fr
51.15.132.86 ; bbb-adm-w138.visio.education.fr
163.172.168.116 ; bbb-adm-w139.visio.education.fr
51.15.197.61 ; bbb-adm-w140.visio.education.fr
51.15.134.90 ; bbb-adm-w141.visio.education.fr
51.15.206.41 ; bbb-adm-w142.visio.education.fr
51.15.192.49 ; bbb-adm-w143.visio.education.fr
163.172.132.188 ; bbb-adm-w144.visio.education.fr
51.15.249.193 ; bbb-adm-w145.visio.education.fr
212.47.240.252 ; bbb-adm-w146.visio.education.fr
51.15.132.49 ; bbb-adm-w147.visio.education.fr
51.15.244.55 ; bbb-adm-w148.visio.education.fr
51.158.114.45 ; bbb-adm-w149.visio.education.fr
51.158.69.210 ; bbb-adm-w150.visio.education.fr
