51.15.128.204 ; bbb-1d-w76.visio.education.fr
51.15.130.204 ; bbb-1d-w16.visio.education.fr
51.15.134.17 ; bbb-1d-w91.visio.education.fr
51.15.137.159 ; bbb-1d-w68.visio.education.fr
51.15.142.129 ; bbb-1d-w38.visio.education.fr
51.15.143.29 ; bbb-1d-w96.visio.education.fr
51.15.143.4 ; bbb-1d-w82.visio.education.fr
51.15.143.72 ; bbb-1d-w37.visio.education.fr
51.15.192.76 ; bbb-1d-w7.visio.education.fr
51.15.196.217 ; bbb-1d-w47.visio.education.fr
51.15.197.156 ; bbb-1d-w70.visio.education.fr
51.15.197.8 ; bbb-1d-w51.visio.education.fr
51.15.199.220 ; bbb-1d-w28.visio.education.fr
51.15.201.234 ; bbb-1d-w39.visio.education.fr
51.15.204.216 ; bbb-1d-w17.visio.education.fr
51.15.204.82 ; bbb-1d-w78.visio.education.fr
51.15.205.140 ; bbb-1d-w85.visio.education.fr
51.15.210.210 ; bbb-1d-w75.visio.education.fr
51.15.211.194 ; bbb-1d-w88.visio.education.fr
51.15.211.43 ; bbb-1d-w72.visio.education.fr
51.15.216.124 ; bbb-1d-w52.visio.education.fr
51.15.219.20 ; bbb-1d-w53.visio.education.fr
51.15.220.94 ; bbb-1d-w73.visio.education.fr
51.15.222.49 ; bbb-1d-w54.visio.education.fr
51.15.223.146 ; bbb-1d-w89.visio.education.fr
51.15.226.26 ; bbb-1d-w12.visio.education.fr
51.15.228.214 ; bbb-1d-w44.visio.education.fr
51.15.230.150 ; bbb-1d-w55.visio.education.fr
51.15.231.43 ; bbb-1d-scalelite.visio.education.fr
51.15.232.208 ; bbb-1d-w61.visio.education.fr
51.15.234.130 ; bbb-1d-w86.visio.education.fr
51.15.236.54 ; bbb-1d-w90.visio.education.fr
51.15.241.35 ; bbb-1d-w71.visio.education.fr
51.15.247.124 ; bbb-1d-w10.visio.education.fr
51.15.247.196 ; bbb-1d-w15.visio.education.fr
51.15.251.131 ; bbb-1d-w94.visio.education.fr
51.15.252.221 ; bbb-1d-w60.visio.education.fr
51.15.254.131 ; bbb-1d-w46.visio.education.fr
51.158.100.98 ; bbb-1d-w9.visio.education.fr
51.158.101.108 ; bbb-1d-w77.visio.education.fr
51.158.102.74 ; bbb-1d-w40.visio.education.fr
51.158.103.204 ; bbb-1d-w48.visio.education.fr
51.158.106.11 ; bbb-1d-w81.visio.education.fr
51.158.108.156 ; bbb-1d-w79.visio.education.fr
51.158.111.242 ; bbb-1d-w26.visio.education.fr
51.158.111.78 ; bbb-1d-w58.visio.education.fr
51.158.111.87 ; bbb-1d-w84.visio.education.fr
51.158.112.118 ; bbb-1d-w69.visio.education.fr
51.158.112.87 ; bbb-1d-w5.visio.education.fr
51.158.113.90 ; bbb-1d-w23.visio.education.fr
51.158.117.82 ; bbb-1d-w31.visio.education.fr
51.158.120.139 ; bbb-1d-w49.visio.education.fr
51.158.120.1 ; bbb-1d-w64.visio.education.fr
51.158.121.229 ; bbb-1d-w93.visio.education.fr
51.158.123.45 ; bbb-1d-w36.visio.education.fr
51.158.125.55 ; bbb-1d-w33.visio.education.fr
51.158.126.15 ; bbb-1d-w66.visio.education.fr
51.158.64.222 ; bbb-1d-w14.visio.education.fr
51.158.68.21 ; bbb-1d-w97.visio.education.fr
51.158.70.164 ; bbb-1d-w8.visio.education.fr
51.158.71.161 ; bbb-1d-w11.visio.education.fr
51.158.72.19 ; bbb-1d-w35.visio.education.fr
51.158.73.251 ; bbb-1d-w83.visio.education.fr
51.158.77.247 ; bbb-1d-w6.visio.education.fr
51.158.78.78 ; bbb-1d-w27.visio.education.fr
51.158.79.151 ; bbb-1d-w24.visio.education.fr
51.158.79.178 ; bbb-1d-w4.visio.education.fr
51.158.79.75 ; bbb-1d-w95.visio.education.fr
163.172.128.116 ; bbb-1d-turn.visio.education.fr
163.172.128.128 ; bbb-1d-w42.visio.education.fr
163.172.128.245 ; bbb-1d-w18.visio.education.fr
163.172.129.122 ; bbb-1d-w30.visio.education.fr
163.172.130.1 ; bbb-1d-w87.visio.education.fr
163.172.131.182 ; bbb-1d-w34.visio.education.fr
163.172.134.176 ; bbb-1d-w19.visio.education.fr
163.172.136.35 ; bbb-1d-w99.visio.education.fr
163.172.139.37 ; bbb-1d-w2.visio.education.fr
163.172.143.77 ; bbb-1d-w62.visio.education.fr
163.172.146.70 ; bbb-1d-w57.visio.education.fr
163.172.151.59 ; bbb-1d-w63.visio.education.fr
163.172.153.183 ; bbb-1d-w1.visio.education.fr
163.172.154.10 ; bbb-1d-w21.visio.education.fr
163.172.158.40 ; bbb-1d-w67.visio.education.fr
163.172.159.188 ; bbb-1d-w32.visio.education.fr
163.172.160.1 ; bbb-1d-w98.visio.education.fr
163.172.164.203 ; bbb-1d-w43.visio.education.fr
163.172.170.33 ; bbb-1d-w74.visio.education.fr
163.172.171.38 ; bbb-1d-w13.visio.education.fr
163.172.172.167 ; bbb-1d-w59.visio.education.fr
163.172.176.202 ; bbb-1d-w20.visio.education.fr
163.172.179.241 ; bbb-1d-w41.visio.education.fr
163.172.180.154 ; bbb-1d-w56.visio.education.fr
163.172.181.134 ; bbb-1d-w45.visio.education.fr
163.172.183.43 ; bbb-1d-w100.visio.education.fr
163.172.186.49 ; bbb-1d-w92.visio.education.fr
212.47.228.90 ; bbb-1d-w3.visio.education.fr
212.47.235.80 ; bbb-1d-w29.visio.education.fr
212.47.236.156 ; bbb-1d-w65.visio.education.fr
212.47.239.53 ; bbb-1d-w80.visio.education.fr
212.47.249.171 ; bbb-1d-w25.visio.education.fr
212.47.252.116 ; bbb-1d-w50.visio.education.fr
212.47.254.20 ; bbb-1d-w22.visio.education.fr
51.15.129.188 ; bbb-2d-w9.visio.education.fr
51.15.138.190 ; bbb-2d-w62.visio.education.fr
51.15.140.24 ; bbb-2d-w56.visio.education.fr
51.15.192.146 ; bbb-2d-w91.visio.education.fr
51.15.197.232 ; bbb-2d-w82.visio.education.fr
51.15.199.107 ; bbb-2d-w59.visio.education.fr
51.15.199.12 ; bbb-2d-w22.visio.education.fr
51.15.199.48 ; bbb-2d-w41.visio.education.fr
51.15.200.128 ; bbb-2d-w98.visio.education.fr
51.15.201.41 ; bbb-2d-w27.visio.education.fr
51.15.202.127 ; bbb-2d-w49.visio.education.fr
51.15.204.138 ; bbb-2d-w39.visio.education.fr
51.15.208.72 ; bbb-2d-w61.visio.education.fr
51.15.209.158 ; bbb-2d-w72.visio.education.fr
51.15.216.50 ; bbb-2d-w8.visio.education.fr
51.15.218.59 ; bbb-2d-w34.visio.education.fr
51.15.219.102 ; bbb-2d-w2.visio.education.fr
51.15.219.186 ; bbb-2d-w40.visio.education.fr
51.15.220.21 ; bbb-2d-turn.visio.education.fr
51.15.224.168 ; bbb-2d-w52.visio.education.fr
51.15.227.92 ; bbb-2d-w86.visio.education.fr
51.15.228.55 ; bbb-2d-w77.visio.education.fr
51.15.229.209 ; bbb-2d-w78.visio.education.fr
51.15.233.204 ; bbb-2d-w45.visio.education.fr
51.15.233.242 ; bbb-2d-w76.visio.education.fr
51.15.234.63 ; bbb-2d-w17.visio.education.fr
51.15.235.250 ; bbb-2d-w94.visio.education.fr
51.15.237.196 ; bbb-2d-w95.visio.education.fr
51.15.239.115 ; bbb-2d-w16.visio.education.fr
51.15.241.204 ; bbb-2d-w46.visio.education.fr
51.15.249.212 ; bbb-2d-w63.visio.education.fr
51.15.251.128 ; bbb-2d-w73.visio.education.fr
51.15.251.75 ; bbb-2d-w19.visio.education.fr
51.15.253.248 ; bbb-2d-w57.visio.education.fr
51.15.253.41 ; bbb-2d-w93.visio.education.fr
51.15.254.159 ; bbb-2d-w100.visio.education.fr
51.15.254.178 ; bbb-2d-w1.visio.education.fr
51.158.102.217 ; bbb-2d-w51.visio.education.fr
51.158.107.247 ; bbb-2d-w29.visio.education.fr
51.158.109.12 ; bbb-2d-w90.visio.education.fr
51.158.110.108 ; bbb-2d-w55.visio.education.fr
51.158.112.241 ; bbb-2d-w31.visio.education.fr
51.158.117.143 ; bbb-2d-w87.visio.education.fr
51.158.118.101 ; bbb-2d-w35.visio.education.fr
51.158.118.147 ; bbb-2d-w6.visio.education.fr
51.158.118.151 ; bbb-2d-w18.visio.education.fr
51.158.120.86 ; bbb-2d-w21.visio.education.fr
51.158.121.180 ; bbb-2d-w88.visio.education.fr
51.158.122.200 ; bbb-2d-w5.visio.education.fr
51.158.123.145 ; bbb-2d-w89.visio.education.fr
51.158.123.194 ; bbb-2d-w3.visio.education.fr
51.158.125.235 ; bbb-2d-w36.visio.education.fr
51.158.126.70 ; bbb-2d-w44.visio.education.fr
51.158.75.240 ; bbb-2d-w32.visio.education.fr
51.158.77.29 ; bbb-2d-w50.visio.education.fr
51.158.77.56 ; bbb-2d-w83.visio.education.fr
51.158.97.232 ; bbb-2d-w7.visio.education.fr
51.158.99.37 ; bbb-2d-w23.visio.education.fr
163.172.132.6 ; bbb-2d-w64.visio.education.fr
163.172.133.43 ; bbb-2d-w38.visio.education.fr
163.172.134.191 ; bbb-2d-w75.visio.education.fr
163.172.135.128 ; bbb-2d-w24.visio.education.fr
163.172.137.57 ; bbb-2d-w20.visio.education.fr
163.172.138.184 ; bbb-2d-w81.visio.education.fr
163.172.138.208 ; bbb-2d-w4.visio.education.fr
163.172.140.113 ; bbb-2d-w60.visio.education.fr
163.172.140.126 ; bbb-2d-w71.visio.education.fr
163.172.141.204 ; bbb-2d-w26.visio.education.fr
163.172.141.53 ; bbb-2d-w33.visio.education.fr
163.172.141.94 ; bbb-2d-w53.visio.education.fr
163.172.146.84 ; bbb-2d-w80.visio.education.fr
163.172.152.236 ; bbb-2d-w42.visio.education.fr
163.172.152.63 ; bbb-2d-w96.visio.education.fr
163.172.154.196 ; bbb-2d-w74.visio.education.fr
163.172.157.67 ; bbb-2d-w58.visio.education.fr
163.172.160.40 ; bbb-2d-w84.visio.education.fr
163.172.162.243 ; bbb-2d-w43.visio.education.fr
163.172.167.157 ; bbb-2d-w15.visio.education.fr
163.172.168.120 ; bbb-2d-w30.visio.education.fr
163.172.168.173 ; bbb-2d-w67.visio.education.fr
163.172.172.148 ; bbb-2d-w99.visio.education.fr
163.172.172.19 ; bbb-2d-w66.visio.education.fr
163.172.172.228 ; bbb-2d-w92.visio.education.fr
163.172.172.99 ; bbb-2d-w28.visio.education.fr
163.172.174.57 ; bbb-2d-w54.visio.education.fr
163.172.175.0 ; bbb-2d-w13.visio.education.fr
163.172.176.244 ; bbb-2d-w11.visio.education.fr
163.172.177.1 ; bbb-2d-w85.visio.education.fr
163.172.177.31 ; bbb-2d-w37.visio.education.fr
163.172.179.76 ; bbb-2d-w47.visio.education.fr
163.172.180.235 ; bbb-2d-w65.visio.education.fr
163.172.181.124 ; bbb-2d-w69.visio.education.fr
163.172.185.52 ; bbb-2d-w97.visio.education.fr
163.172.190.14 ; bbb-2d-w12.visio.education.fr
212.47.226.39 ; bbb-2d-w48.visio.education.fr
212.47.227.6 ; bbb-2d-w79.visio.education.fr
212.47.233.193 ; bbb-2d-w10.visio.education.fr
212.47.239.225 ; bbb-2d-w14.visio.education.fr
212.47.239.51 ; bbb-2d-w25.visio.education.fr
212.47.250.232 ; bbb-2d-w68.visio.education.fr
212.47.251.158 ; bbb-2d-w70.visio.education.fr
212.47.253.217 ; bbb-2d-scalelite.visio.education.fr
51.15.129.114 ; bbb-2dl-w77.visio.education.fr
51.15.132.66 ; bbb-2dl-w76.visio.education.fr
51.15.133.31 ; bbb-2dl-w65.visio.education.fr
51.15.134.249 ; bbb-2dl-w84.visio.education.fr
51.15.136.113 ; bbb-2dl-w42.visio.education.fr
51.15.136.234 ; bbb-2dl-w39.visio.education.fr
51.15.138.5 ; bbb-2dl-turn.visio.education.fr
51.15.139.135 ; bbb-2dl-w25.visio.education.fr
51.15.141.16 ; bbb-2dl-w47.visio.education.fr
51.15.142.214 ; bbb-2dl-w75.visio.education.fr
51.15.192.136 ; bbb-2dl-w69.visio.education.fr
51.15.193.4 ; bbb-2dl-w38.visio.education.fr
51.15.194.214 ; bbb-2dl-w85.visio.education.fr
51.15.195.108 ; bbb-2dl-w15.visio.education.fr
51.15.196.35 ; bbb-2dl-w8.visio.education.fr
51.15.199.117 ; bbb-2dl-w64.visio.education.fr
51.15.204.28 ; bbb-2dl-w46.visio.education.fr
51.15.206.111 ; bbb-2dl-w95.visio.education.fr
51.15.210.66 ; bbb-2dl-w93.visio.education.fr
51.15.212.204 ; bbb-2dl-w100.visio.education.fr
51.15.213.200 ; bbb-2dl-w80.visio.education.fr
51.15.216.243 ; bbb-2dl-w7.visio.education.fr
51.15.219.24 ; bbb-2dl-w29.visio.education.fr
51.15.222.152 ; bbb-2dl-w22.visio.education.fr
51.15.225.134 ; bbb-2dl-w59.visio.education.fr
51.15.227.56 ; bbb-2dl-w68.visio.education.fr
51.15.229.146 ; bbb-2dl-w21.visio.education.fr
51.15.230.103 ; bbb-2dl-w17.visio.education.fr
51.15.232.252 ; bbb-2dl-w74.visio.education.fr
51.15.233.205 ; bbb-2dl-w37.visio.education.fr
51.15.237.185 ; bbb-2dl-w53.visio.education.fr
51.15.240.35 ; bbb-2dl-w23.visio.education.fr
51.15.242.16 ; bbb-2dl-w91.visio.education.fr
51.15.243.245 ; bbb-2dl-w45.visio.education.fr
51.15.244.16 ; bbb-2dl-w71.visio.education.fr
51.15.249.230 ; bbb-2dl-w1.visio.education.fr
51.15.252.244 ; bbb-2dl-w28.visio.education.fr
51.15.253.110 ; bbb-2dl-w30.visio.education.fr
51.158.103.131 ; bbb-2dl-w3.visio.education.fr
51.158.105.159 ; bbb-2dl-w12.visio.education.fr
51.158.106.10 ; bbb-2dl-w19.visio.education.fr
51.158.107.96 ; bbb-2dl-w24.visio.education.fr
51.158.111.79 ; bbb-2dl-w88.visio.education.fr
51.158.112.143 ; bbb-2dl-w26.visio.education.fr
51.158.113.157 ; bbb-2dl-w62.visio.education.fr
51.158.114.174 ; bbb-2dl-w72.visio.education.fr
51.158.117.74 ; bbb-2dl-w66.visio.education.fr
51.158.118.74 ; bbb-2dl-w70.visio.education.fr
51.158.119.56 ; bbb-2dl-w98.visio.education.fr
51.158.122.180 ; bbb-2dl-w10.visio.education.fr
51.158.125.198 ; bbb-2dl-w52.visio.education.fr
51.158.126.117 ; bbb-2dl-w55.visio.education.fr
51.158.65.64 ; bbb-2dl-w36.visio.education.fr
51.158.66.117 ; bbb-2dl-w2.visio.education.fr
51.158.69.38 ; bbb-2dl-w13.visio.education.fr
51.158.73.206 ; bbb-2dl-w87.visio.education.fr
51.158.97.134 ; bbb-2dl-w61.visio.education.fr
51.158.98.108 ; bbb-2dl-w73.visio.education.fr
51.158.98.53 ; bbb-2dl-w99.visio.education.fr
51.158.99.117 ; bbb-2dl-w67.visio.education.fr
51.158.99.167 ; bbb-2dl-w35.visio.education.fr
163.172.136.193 ; bbb-2dl-w33.visio.education.fr
163.172.136.248 ; bbb-2dl-w20.visio.education.fr
163.172.137.92 ; bbb-2dl-w63.visio.education.fr
163.172.140.8 ; bbb-2dl-w54.visio.education.fr
163.172.144.118 ; bbb-2dl-w18.visio.education.fr
163.172.144.142 ; bbb-2dl-w16.visio.education.fr
163.172.147.208 ; bbb-2dl-w92.visio.education.fr
163.172.150.21 ; bbb-2dl-w94.visio.education.fr
163.172.155.231 ; bbb-2dl-w31.visio.education.fr
163.172.165.86 ; bbb-2dl-w56.visio.education.fr
163.172.168.219 ; bbb-2dl-w89.visio.education.fr
163.172.168.99 ; bbb-2dl-w14.visio.education.fr
163.172.169.35 ; bbb-2dl-w90.visio.education.fr
163.172.170.170 ; bbb-2dl-w44.visio.education.fr
163.172.172.95 ; bbb-2dl-w43.visio.education.fr
163.172.173.210 ; bbb-2dl-w50.visio.education.fr
163.172.173.79 ; bbb-2dl-w49.visio.education.fr
163.172.174.156 ; bbb-2dl-w57.visio.education.fr
163.172.175.122 ; bbb-2dl-w86.visio.education.fr
163.172.175.212 ; bbb-2dl-w48.visio.education.fr
163.172.178.122 ; bbb-2dl-w11.visio.education.fr
163.172.179.74 ; bbb-2dl-w83.visio.education.fr
163.172.180.62 ; bbb-2dl-w6.visio.education.fr
163.172.180.64 ; bbb-2dl-w40.visio.education.fr
163.172.180.73 ; bbb-2dl-w58.visio.education.fr
163.172.181.139 ; bbb-2dl-w5.visio.education.fr
163.172.181.140 ; bbb-2dl-w51.visio.education.fr
163.172.181.153 ; bbb-2dl-w81.visio.education.fr
163.172.183.10 ; bbb-2dl-w4.visio.education.fr
163.172.186.229 ; bbb-2dl-scalelite.visio.education.fr
163.172.190.160 ; bbb-2dl-w32.visio.education.fr
163.172.190.2 ; bbb-2dl-w97.visio.education.fr
212.47.228.141 ; bbb-2dl-w41.visio.education.fr
212.47.234.42 ; bbb-2dl-w9.visio.education.fr
212.47.245.155 ; bbb-2dl-w34.visio.education.fr
212.47.245.233 ; bbb-2dl-w82.visio.education.fr
212.47.246.77 ; bbb-2dl-w79.visio.education.fr
212.47.247.49 ; bbb-2dl-w96.visio.education.fr
212.47.248.155 ; bbb-2dl-w78.visio.education.fr
212.47.250.68 ; bbb-2dl-w60.visio.education.fr
212.47.253.207 ; bbb-2dl-w27.visio.education.fr
51.159.156.126 ; bbb-lms-scalelite.visio.education.fr
51.159.139.173 ; bbb-lms-turn.visio.education.fr
51.159.167.142 ; bbb-lms-w1.visio.education.fr
51.159.188.140 ; bbb-lms-w2.visio.education.fr
51.159.182.88 ; bbb-lms-w3.visio.education.fr
51.159.140.189 ; bbb-lms-w4.visio.education.fr
51.159.158.238 ; bbb-lms-w5.visio.education.fr
51.159.170.208 ; bbb-lms-w6.visio.education.fr
51.159.167.160 ; bbb-lms-w7.visio.education.fr
51.159.172.251 ; bbb-lms-w8.visio.education.fr
51.159.151.115 ; bbb-lms-w9.visio.education.fr
51.159.136.35 ; bbb-lms-w10.visio.education.fr
51.159.146.142 ; bbb-lms-w11.visio.education.fr
51.159.162.222 ; bbb-lms-w12.visio.education.fr
51.159.167.171 ; bbb-lms-w13.visio.education.fr
51.159.189.247 ; bbb-lms-w14.visio.education.fr
51.159.144.93 ; bbb-lms-w15.visio.education.fr
51.159.171.13 ; bbb-lms-w16.visio.education.fr
51.159.188.145 ; bbb-lms-w17.visio.education.fr
51.159.189.2 ; bbb-lms-w18.visio.education.fr
51.159.138.153 ; bbb-lms-w19.visio.education.fr
51.159.162.99 ; bbb-lms-w20.visio.education.fr
51.159.140.144 ; bbb-lms-w21.visio.education.fr
51.159.186.79 ; bbb-lms-w22.visio.education.fr
51.159.144.235 ; bbb-lms-w23.visio.education.fr
51.159.142.100 ; bbb-lms-w24.visio.education.fr
51.159.189.223 ; bbb-lms-w25.visio.education.fr
51.159.130.94 ; bbb-lms-w26.visio.education.fr
51.159.142.32 ; bbb-lms-w27.visio.education.fr
51.159.159.216 ; bbb-lms-w28.visio.education.fr
51.159.140.224 ; bbb-lms-w29.visio.education.fr
51.159.136.17 ; bbb-lms-w30.visio.education.fr
51.159.191.236 ; bbb-lms-w31.visio.education.fr
51.159.173.73 ; bbb-lms-w32.visio.education.fr
51.159.157.192 ; bbb-lms-w33.visio.education.fr
51.159.146.101 ; bbb-lms-w34.visio.education.fr
51.159.135.36 ; bbb-lms-w35.visio.education.fr
51.159.155.173 ; bbb-lms-w36.visio.education.fr
51.159.170.113 ; bbb-lms-w37.visio.education.fr
51.159.156.58 ; bbb-lms-w38.visio.education.fr
51.159.153.251 ; bbb-lms-w39.visio.education.fr
51.159.151.80 ; bbb-lms-w40.visio.education.fr
51.159.157.233 ; bbb-lms-w41.visio.education.fr
51.159.144.251 ; bbb-lms-w42.visio.education.fr
51.159.133.232 ; bbb-lms-w43.visio.education.fr
51.159.160.217 ; bbb-lms-w44.visio.education.fr
51.159.159.76 ; bbb-lms-w45.visio.education.fr
