51.158.74.114 ; bbb-dinum-scalelite.visio.education.fr
163.172.155.141 ; bbb-dinum-turn.visio.education.fr
163.172.129.131 ; bbb-dinum-w1.visio.education.fr
163.172.181.99 ; bbb-dinum-w2.visio.education.fr
51.15.211.234 ; bbb-dinum-w3.visio.education.fr
51.15.221.4 ; bbb-dinum-w4.visio.education.fr
51.158.67.186 ; bbb-dinum-w5.visio.education.fr
163.172.130.110 ; bbb-dinum-w6.visio.education.fr
51.15.213.27 ; bbb-dinum-w7.visio.education.fr
212.47.249.69 ; bbb-dinum-w8.visio.education.fr
163.172.176.145 ; bbb-dinum-w9.visio.education.fr
51.158.77.225 ; bbb-dinum-w10.visio.education.fr
163.172.156.5 ; bbb-dinum-w11.visio.education.fr
51.15.250.17 ; bbb-dinum-w12.visio.education.fr
51.158.102.208 ; bbb-dinum-w13.visio.education.fr
51.15.250.223 ; bbb-dinum-w14.visio.education.fr
51.15.234.239 ; bbb-dinum-w15.visio.education.fr
163.172.183.212 ; bbb-dinum-w16.visio.education.fr
163.172.165.121 ; bbb-dinum-w17.visio.education.fr
163.172.137.55 ; bbb-dinum-w18.visio.education.fr
163.172.164.246 ; bbb-dinum-w19.visio.education.fr
51.158.100.63 ; bbb-dinum-w20.visio.education.fr
163.172.178.239 ; bbb-dinum-w21.visio.education.fr
51.158.75.221 ; bbb-dinum-w22.visio.education.fr
163.172.165.220 ; bbb-dinum-w23.visio.education.fr
51.15.244.239 ; bbb-dinum-w24.visio.education.fr
51.15.218.152 ; bbb-dinum-w25.visio.education.fr
163.172.178.217 ; bbb-dinum-w26.visio.education.fr
51.15.227.66 ; bbb-dinum-w27.visio.education.fr
51.158.119.177 ; bbb-dinum-w28.visio.education.fr
51.15.246.162 ; bbb-dinum-w29.visio.education.fr
51.15.200.69 ; bbb-dinum-w30.visio.education.fr
51.15.230.187 ; bbb-dinum-w31.visio.education.fr
51.158.66.244 ; bbb-dinum-w32.visio.education.fr
163.172.150.220 ; bbb-dinum-w33.visio.education.fr
163.172.154.80 ; bbb-dinum-w34.visio.education.fr
51.15.137.92 ; bbb-dinum-w35.visio.education.fr
163.172.161.160 ; bbb-dinum-w36.visio.education.fr
51.158.66.223 ; bbb-dinum-w37.visio.education.fr
51.15.232.121 ; bbb-dinum-w38.visio.education.fr
51.15.197.5 ; bbb-dinum-w39.visio.education.fr
51.158.115.222 ; bbb-dinum-w40.visio.education.fr
163.172.145.132 ; bbb-dinum-w41.visio.education.fr
212.47.241.103 ; bbb-dinum-w42.visio.education.fr
51.158.71.154 ; bbb-dinum-w43.visio.education.fr
51.15.250.49 ; bbb-dinum-w44.visio.education.fr
51.15.136.224 ; bbb-dinum-w45.visio.education.fr
212.47.241.158 ; bbb-dinum-w46.visio.education.fr
212.47.240.244 ; bbb-dinum-w47.visio.education.fr
163.172.136.59 ; bbb-dinum-w48.visio.education.fr
51.15.216.224 ; bbb-dinum-w49.visio.education.fr
212.47.235.135 ; bbb-dinum-w53.visio.education.fr
212.47.227.82 ; bbb-dinum-w54.visio.education.fr
51.158.73.130 ; bbb-dinum-w55.visio.education.fr
51.158.99.218 ; bbb-dinum-w56.visio.education.fr
51.158.108.222 ; bbb-dinum-w57.visio.education.fr
163.172.130.235 ; bbb-dinum-w58.visio.education.fr
51.15.216.31 ; bbb-dinum-w59.visio.education.fr
51.158.98.120 ; bbb-dinum-w60.visio.education.fr
163.172.149.116 ; bbb-dinum-w61.visio.education.fr
51.158.79.55 ; bbb-dinum-w62.visio.education.fr
51.15.252.174 ; bbb-dinum-w63.visio.education.fr
51.15.245.235 ; bbb-dinum-w64.visio.education.fr
212.47.252.204 ; bbb-dinum-w65.visio.education.fr
51.15.227.19 ; bbb-dinum-w66.visio.education.fr
51.158.116.149 ; bbb-dinum-w67.visio.education.fr
212.47.237.205 ; bbb-dinum-w68.visio.education.fr
163.172.160.145 ; bbb-dinum-w69.visio.education.fr
163.172.159.165 ; bbb-dinum-w70.visio.education.fr
163.172.186.25 ; bbb-dinum-w71.visio.education.fr
51.158.108.247 ; bbb-dinum-w72.visio.education.fr
212.47.237.240 ; bbb-dinum-w73.visio.education.fr
212.47.247.156 ; bbb-dinum-w74.visio.education.fr
212.47.232.66 ; bbb-dinum-w75.visio.education.fr
51.158.121.167 ; bbb-dinum-w76.visio.education.fr
51.15.128.19 ; bbb-dinum-w77.visio.education.fr
51.15.137.122 ; bbb-dinum-w78.visio.education.fr
51.15.202.238 ; bbb-dinum-w79.visio.education.fr
51.15.223.44 ; bbb-dinum-w80.visio.education.fr
212.47.249.227 ; bbb-dinum-w81.visio.education.fr
51.158.68.43 ; bbb-dinum-w82.visio.education.fr
163.172.168.238 ; bbb-dinum-w83.visio.education.fr
163.172.173.132 ; bbb-dinum-w84.visio.education.fr
51.15.232.81 ; bbb-dinum-w85.visio.education.fr
51.15.212.243 ; bbb-dinum-w86.visio.education.fr
212.47.251.231 ; bbb-dinum-w87.visio.education.fr
51.15.142.185 ; bbb-dinum-w88.visio.education.fr
212.47.249.178 ; bbb-dinum-w89.visio.education.fr
51.158.127.163 ; bbb-dinum-w90.visio.education.fr
163.172.138.5 ; bbb-dinum-w91.visio.education.fr
51.15.215.64 ; bbb-dinum-w92.visio.education.fr
163.172.156.55 ; bbb-dinum-w93.visio.education.fr
163.172.154.240 ; bbb-dinum-w94.visio.education.fr
51.15.198.40 ; bbb-dinum-w95.visio.education.fr
51.15.248.88 ; bbb-dinum-w96.visio.education.fr
51.158.73.171 ; bbb-dinum-w97.visio.education.fr
51.15.251.161 ; bbb-dinum-w98.visio.education.fr
163.172.166.218 ; bbb-dinum-w99.visio.education.fr
163.172.129.96 ; bbb-dinum-w100.visio.education.fr
